iter	Passed	Remaining
0	60	30248
1	62	15666
2	65	10772
3	67	8391
4	72	7133
5	74	6140
6	76	5402
7	78	4825
8	80	4374
9	82	4020
10	84	3737
11	86	3537
12	90	3374
13	92	3200
14	95	3075
15	97	2947
16	99	2834
17	101	2726
18	103	2629
19	106	2550
20	109	2506
21	112	2440
22	117	2426
23	125	2488
24	132	2523
25	139	2550
26	145	2549
27	155	2622
28	163	2649
29	172	2698
30	175	2662
31	178	2604
32	182	2587
33	186	2557
34	189	2514
35	195	2517
36	202	2529
37	207	2524
38	214	2540
39	221	2550
40	224	2514
41	227	2477
42	232	2475
43	237	2462
44	240	2428
45	242	2393
46	245	2368
47	248	2337
48	251	2318
49	255	2298
50	257	2269
51	260	2243
52	263	2221
53	266	2201
54	269	2184
55	272	2160
56	274	2135
57	276	2109
58	278	2083
59	280	2059
60	282	2034
61	285	2014
62	287	1993
63	289	1970
64	291	1948
65	294	1936
66	296	1917
67	299	1900
68	301	1884
69	303	1865
70	305	1848
71	309	1841
72	315	1844
73	320	1847
74	324	1839
75	329	1837
76	337	1852
77	341	1848
78	346	1846
79	352	1850
80	358	1856
81	363	1850
82	367	1846
83	373	1849
84	379	1853
85	386	1858
86	388	1844
87	392	1839
88	398	1839
89	401	1827
90	404	1819
91	407	1805
92	411	1800
93	414	1791
94	419	1788
95	423	1782
96	428	1778
97	432	1776
98	438	1776
99	440	1763
100	443	1750
101	450	1758
102	464	1789
103	468	1782
104	476	1794
105	482	1794
106	485	1782
107	489	1775
108	495	1776
109	499	1770
110	506	1775
111	510	1768
112	512	1756
113	518	1755
114	527	1766
115	531	1758
116	534	1750
117	540	1749
118	544	1743
119	547	1734
120	551	1726
121	553	1714
122	555	1702
123	559	1696
124	561	1684
125	566	1682
126	570	1676
127	574	1669
128	576	1658
129	582	1656
130	586	1651
131	592	1650
132	596	1646
133	608	1663
134	614	1662
135	619	1657
136	626	1659
137	628	1649
138	633	1646
139	637	1639
140	640	1630
141	642	1620
142	648	1618
143	653	1615
144	655	1605
145	661	1602
146	663	1593
147	668	1590
148	671	1581
149	675	1575
150	677	1566
151	681	1561
152	684	1552
153	686	1543
154	690	1536
155	692	1527
156	695	1520
157	698	1511
158	701	1504
159	704	1496
160	706	1488
161	710	1482
162	713	1474
163	716	1468
164	720	1463
165	723	1456
166	726	1449
167	730	1442
168	732	1434
169	735	1427
170	738	1419
171	740	1411
172	744	1407
173	747	1399
174	750	1393
175	752	1385
176	754	1377
177	759	1374
178	762	1367
179	765	1360
180	768	1353
181	772	1349
182	774	1341
183	779	1337
184	781	1330
185	784	1324
186	787	1318
187	790	1311
188	793	1306
189	796	1299
190	799	1294
191	802	1287
192	806	1282
193	808	1275
194	810	1267
195	814	1263
196	818	1258
197	821	1252
198	823	1245
199	826	1239
200	830	1234
201	834	1231
202	840	1229
203	842	1222
204	846	1218
205	848	1211
206	851	1205
207	855	1200
208	858	1195
209	861	1189
210	863	1182
211	868	1179
212	871	1173
213	874	1168
214	877	1162
215	882	1159
216	887	1157
217	890	1152
218	895	1148
219	899	1144
220	901	1138
221	905	1133
222	908	1128
223	911	1122
224	914	1117
225	916	1111
226	922	1108
227	926	1105
228	930	1101
229	934	1097
230	938	1093
231	943	1089
232	947	1085
233	950	1080
234	953	1075
235	955	1068
236	957	1062
237	960	1056
238	962	1051
239	964	1045
240	969	1041
241	972	1037
242	976	1032
243	978	1026
244	981	1021
245	984	1016
246	986	1010
247	989	1005
248	991	999
249	994	994
250	996	988
251	998	983
252	1001	977
